movie_title,movie_id,metascore,userscore,runtime,whole_cast_meta,principle_cast_meta,supporting_cast_meta,director_meta,writer_meta,producer_meta,principle_cast_user,supporting_cast_user,writers_user,whole_cast_user,director_user,producer_user,rls_season,rls_time_of_month,mpaa,genre,language,production_companies
The Merchant of Venice,21327,63,7.4,138.0,61.1110203340595497,59.5572016460905350,60.7435897435897436,59.5000000000000000,56.2058823529411765,53.9444444444444444,7.198674948240166,7.486923076923077,7.015833333333333,7.512186497787521,7.424999999999999,7.553214285714286,Winter,End,R,Drama,English,UK Film Council
The Assassination of Richard Nixon,21328,63,9.1,95.0,57.2596005846005846,58.7650997150997151,56.4439393939393939,72.6111111111111111,74.8200000000000000,61.3000000000000000,7.3607027986633256,6.997348484848485,6.8125,6.952634310134312,7.086111111111111,7.191333333333333,Winter,End,R,"Biography,                                          Drama,                                          History,                                          Thriller,                                          Crime",English,Appian Way
Undertow,21330,63,6.1,108.0,64.2521645021645022,56.9553571428571429,62.7396825396825397,82.2500000000000000,82.5000000000000000,66.3735615079365079,6.808333333333334,7.5388888888888905,7.725,7.241349206349206,7.741666666666666,7.013717948717949,Fall,End,R,"Drama,                                          Thriller",English,ContentFilm
Sex Is Comedy,21331,63,5.5,92.0,61.2266666666666667,74.8333333333333333,56.3000000000000000,52.5000000000000000,52.5000000000000000,37.9000000000000000,7.2,6.416666666666667,6.449999999999999,6.76,6.449999999999999,6.1875,Fall,Middle,R,"Drama,                                          Comedy,                                          Romance","French, Portuguese",Canal+
Anchorman: The Legend of Ron Burgundy,21335,63,7.9,94.0,46.1614029909484455,49.6000000000000000,45.6250000000000000,76.3333333333333333,48.0833333333333333,59.5000000000000000,7.6395833333333325,6.1745,7.383333333333333,6.69185064935065,7.866666666666666,7.983333333333333,Summer,Beginning,PG13,"Comedy,                                          Romance","English, French, Spanish",DreamWorks SKG
Two Brothers,21336,63,8.7,109.0,59.6266666666666667,58.0370370370370370,57.1000000000000000,60.2000000000000000,60.3333333333333333,53.8560606060606061,8.12142857142857,7.4300000000000015,6.983333333333333,7.699166666666668,7.2,7.239583333333333,Summer,End,PG,"Adventure,                                          Drama,                                          Family","English, French, Thai",Canal+
Out of Time,21340,63,7.9,105.0,50.7738636363636364,58.4545454545454545,48.8802083333333333,65.5000000000000000,78.0000000000000000,45.8095238095238095,6.841666666666668,6.588095238095239,6.2,6.570476190476191,7.5625,6.583333333333334,Fall,Beginning,R,"Drama,                                          Thriller,                                          Crime",English,Metro-Goldwyn-Mayer (MGM)
I Capture the Castle,21342,63,6.8,113.0,54.5936639118457300,57.6500000000000000,53.3863636363636364,70.6000000000000000,58.5000000000000000,64.4019607843137255,8.316666666666666,6.43,6.3999999999999995,6.836333333333333,5.766666666666667,7.717124542124543,Summer,Middle,R,"Drama,                                          Romance",English,Isle of Man Film Commission
Pirates of the Caribbean: The Curse of the Black Pearl,21343,63,8.8,143.0,58.7689995189995190,58.8291666666666667,59.6402777777777778,55.6666666666666667,61.5833333333333334,44.9552795031055901,7.346190476190475,7.1015625,7.3916666666666675,7.225185185185186,6.016666666666667,6.801040372670808,Summer,Beginning,PG13,"Action,                                          Adventure,                                          Fantasy,                                          Romance,                                          Family",English,Walt Disney Pictures
Drumline,21345,63,6.2,118.0,52.7908163265306122,52.7500000000000000,49.9416666666666667,49.0000000000000000,25.0000000000000000,48.2000000000000000,7.5,7.003333333333334,6.8,7.040476190476191,5.9,7.7125,Fall,Middle,PG13,"Drama,                                          Comedy,                                          Romance,                                          Music",English,Fox 2000 Pictures
